label,L.BSTS,L.CACG,L.CMFG,L.CU,L.EC,L.FG,L.IPG,L.ITG,L.ICG,L.LOG,L.LOFG,L.LG,L.MOFG,L.MTG,L.PHIG,L.PaCG,L.POP,L.POR,L.PTR,L.PCAL,L.PoCG,L.PCG,L.PrCG,L.PCU,L.RACG,L.RMFG,L.SFG,L.SPG,L.STG,L.SMG,L.FP,L.TP,L.TTG,L.IN,L.CER,L.TH,L.CA,L.PU,L.PA,L.HI,L.AM,L.AC,R.TH,R.CA,R.PU,R.PA,R.HI,R.AM,R.AC,R.BSTS,R.CACG,R.CMFG,R.CU,R.EC,R.FG,R.IPG,R.ITG,R.ICG,R.LOG,R.LOFG,R.LG,R.MOFG,R.MTG,R.PHIG,R.PaCG,R.POP,R.POR,R.PTR,R.PCAL,R.PoCG,R.PCG,R.PrCG,R.PCU,R.RACG,R.RMFG,R.SFG,R.SPG,R.STG,R.SMG,R.FP,R.TP,R.TTG,R.IN,R.CER,L.VTA,L.SN,L.RN,R.VTA,R.SN,R.RN
L.LOFG,0.0,78.4676697170305,94.8378755048527,199.801944450994,71.3103496117959,103.287577469001,173.138836390942,90.3131513868546,154.109840712422,170.167181975902,0.0,126.999675878972,17.738934577275,91.0103103364012,125.216346740723,0.0,67.5483126720605,26.0795997498991,34.6972508477603,173.672175240524,209.11603166671,0.0,138.911173698057,0.0,33.6469070986427,25.2402650966322,75.9892225739492,0.0,82.6628676372221,141.346582796808,7.6041361691913,79.3815581100462,151.180725097656,27.6980216361455,0.0,84.5070637889979,38.1107811999389,37.1820104338795,58.4600006631654,84.7711298965618,44.9946532448415,26.8747868940528,211.632121132027,93.0871730372321,115.185135989149,158.035722861158,232.15852355957,0.0,73.9197879986493,0.0,130.919931851708,218.92106628418,0.0,0.0,190.847458464828,220.66704736692,145.83967590332,141.286075240283,237.273092551817,85.9232962527184,0.0,80.0171878812451,150.744480838504,0.0,0.0,179.235698078754,130.195548087323,149.29733392793,0.0,0.0,207.991165161133,156.091092054194,189.186557817093,65.1580817684729,121.337118187866,131.284841269156,0.0,115.598976135254,0.0,114.603374485511,125.411051873932,0.0,120.910311357245,161.234532488619,0.0,0.0,0.0,161.234532488619,161.234532488619,161.234532488619
L.LG,93.2414474487305,0.0,0.0,38.4293804021516,121.973375967115,34.2494567965849,124.259827693124,78.900914276206,33.5683502413646,23.9360332518599,126.999675878972,0.0,102.854852208821,97.1842112917048,17.4861670605804,0.0,189.698282981318,149.562726574074,177.789304567479,13.5480706244914,156.853925370025,0.0,170.9948738451,44.260032947457,113.353448495318,149.770977784716,189.738189989302,66.0800333185163,111.429249805757,162.668586388196,0.0,106.572059112299,144.495763221468,101.651271988918,188.783477783203,103.027939007806,127.28440186949,103.896739945927,108.548513708485,14.0310402918751,115.806220884477,104.456680297852,175.802782256731,216.810256958008,178.354371107677,139.20050198545,112.882054527335,169.881292256692,132.355071664192,230.441178945513,0.0,208.123046875,151.68713703493,0.0,154.706492265974,166.981915759327,182.38318119053,68.9196274326351,141.918246041844,0.0,126.78898033325,87.2679811646532,204.713317101625,142.837992946998,0.0,0.0,0.0,0.0,129.506224869011,114.688537597656,204.097366333008,180.792358118299,129.818495803997,0.0,214.146622402057,224.93070923889,161.196791872589,207.068095950499,216.094794659964,0.0,0.0,0.0,196.405889931269,0.0,188.783477783203,188.783477783203,188.783477783203,0.0,0.0,0.0
L.MOFG,0.0,49.1861360283855,139.123851754969,0.0,67.4985809326172,99.0607645615989,115.394425394218,90.5647195653223,51.778197493708,130.483077703925,17.738934577275,102.854852208821,0.0,119.023404242937,75.5554566507141,225.091796875,105.424408879297,64.8201501990229,85.23783154831,142.426943023028,201.66559312765,131.909241224127,141.08911936633,134.847504769129,17.0514077456509,16.12316325708,14.9091444226491,127.378916572834,89.2871422695396,137.659125301549,8.31830738996947,79.4627783743444,149.520919799805,18.8253412178189,71.9057591162457,34.4504356024195,26.4422892118871,24.2333485812884,27.7658415278789,72.2257797349365,44.2880445850525,11.9387902002589,69.207725157719,87.9067303655426,87.3204187298345,43.7539285153638,77.7020962661864,153.672210693359,62.3659686491091,109.002155607168,134.213331785394,131.053024291992,121.148826599121,0.0,139.521752787504,143.206049852528,128.816059665636,94.0761343368719,131.230014296878,85.0356396256015,155.141971653623,73.8565104369433,159.362405905649,0.0,118.349722638444,122.745376586914,120.886484189263,131.700436609876,129.990569091263,169.29895690796,106.181312561035,141.350555156713,111.225982850562,56.3933320881876,109.748237039163,116.468710365437,140.442972711876,135.3085432443,168.135097503215,106.172867778196,176.01432800293,0.0,53.1617215012298,71.219680131513,71.9057591162457,71.9057591162457,71.9057591162457,71.219680131513,71.219680131513,71.219680131513
L.MTG,18.9795087212974,153.084393631676,135.194062958758,119.949130159942,26.4148654003619,54.3690888732744,45.1809362216476,17.9202673660482,107.849570462757,67.6187219935607,91.0103103364012,97.1842112917048,119.023404242937,0.0,42.4069712921813,193.51369626776,134.577244662984,108.308484991097,119.245256914195,99.4286840152306,115.092623486876,148.857653476664,127.725472873735,105.411438984564,146.798777330687,127.831485418307,159.147883580819,109.55290691453,27.7487187038797,84.661607042435,0.0,22.9095455188289,60.7679815303021,57.6250362192598,136.542088293407,102.965174892532,104.40650284689,73.9136610726685,85.2435130439035,63.166886793129,44.4896873267392,83.7655996065291,196.782872495718,158.709853087219,222.088156575318,216.321999716716,177.083575965297,246.18505859375,0.0,0.0,196.877361980308,199.364196777344,237.207329014618,0.0,227.592666625977,186.410085775979,213.347999487036,125.486905918919,218.602329159708,0.0,202.071139626871,0.0,205.843199038901,194.454406738281,211.097607553492,223.693206787109,187.59587097168,182.196273803711,187.092193603516,161.488571166992,176.163890376023,247.129928588867,181.813268414618,156.865556229441,211.291037793192,198.3789555934,197.445732469459,217.997852116648,189.764610778736,0.0,0.0,0.0,227.367613754616,0.0,136.542088293407,136.542088293407,136.542088293407,0.0,0.0,0.0
L.PHIG,0.0,0.0,0.0,70.9746422595216,11.1585264764984,18.5849341692344,164.923184626475,35.3545446010491,21.2086942174532,95.7834988713674,125.216346740723,17.4861670605804,75.5554566507141,42.4069712921813,0.0,0.0,0.0,121.637214660645,0.0,73.1033667394219,86.1205062866211,102.01489601905,0.0,66.2953828700386,0.0,184.129682199346,113.597739810089,109.809904576885,46.8991063998642,192.078050893801,0.0,34.7156558414709,202.882934099996,51.9458544244295,31.3227789413964,50.3119739038707,92.6829299926758,37.721159442841,50.6038564247841,7.71024669882508,25.0470066752265,0.0,92.6814977637227,139.365982055664,161.334969097753,65.3783700358198,96.6427870380407,0.0,0.0,173.847198486328,0.0,151.005752563477,189.365021561498,0.0,193.404113769531,0.0,0.0,60.4939379769734,131.716551417238,0.0,94.6447448730469,0.0,0.0,68.464953133954,0.0,0.0,0.0,0.0,137.25798034668,0.0,127.638206481934,160.833740234375,145.106309883965,0.0,0.0,0.0,175.505135969599,195.090545654297,126.677101135254,0.0,0.0,0.0,99.3892288208008,68.50215631769,31.3227789413964,31.3227789413964,31.3227789413964,68.50215631769,68.50215631769,68.50215631769
L.PaCG,149.864624023438,77.1035386371256,108.948026040107,159.723892211914,0.0,0.0,110.09301618306,160.543748518927,81.4359206068326,83.6357987483337,0.0,0.0,225.091796875,193.51369626776,0.0,0.0,130.659844013562,0.0,219.371810913086,120.102928161621,15.1203428531032,35.6501117591223,19.295388465826,40.4454626853875,94.0509084424517,155.116570433456,24.1402387013467,34.5550130635007,135.383360726656,102.898473374447,0.0,120.411102294922,135.168793402341,114.24312918399,148.728857863139,88.5592196888328,61.629223497323,82.9810578318673,88.8499169428158,99.4877867797075,0.0,0.0,136.937913487255,109.921976219548,121.630930930347,143.291722142004,168.028244610821,0.0,0.0,139.06298828125,159.936882032568,147.168091704966,0.0,0.0,180.938430786133,184.405733417387,178.510513305664,130.551981838376,0.0,0.0,0.0,0.0,242.574630737305,0.0,121.515060646495,181.242789703128,0.0,0.0,0.0,147.412529457007,82.5627922684993,133.545551273096,141.755784305845,136.101699829102,153.780763735631,133.489837032565,147.758205958817,190.828301216402,161.532749034983,0.0,0.0,203.366806030273,148.231299067943,171.052287442913,148.728857863139,148.728857863139,148.728857863139,171.052287442913,171.052287442913,171.052287442913
L.POP,129.769741407486,93.1356878050559,57.3349212488614,0.0,120.326540190263,140.025164821773,129.690686843883,146.484756451147,143.37030508077,178.652067846913,67.5483126720605,189.698282981318,105.424408879297,134.577244662984,0.0,130.659844013562,0.0,81.2242439868792,30.8822534448474,193.430709838867,89.9728797179303,98.4130358244949,35.6781811855864,152.95475174955,104.241686710595,45.0013095493911,88.8776801761587,132.203840115674,119.875561767182,99.7111793994831,0.0,132.346341635611,130.339519628538,47.0588024612231,135.973343648594,104.198037925886,79.5588644473916,65.8002659549784,85.933444471945,148.741802551836,79.7877197265625,118.680749197464,166.145883826209,136.951672114364,145.46179429367,161.182191772215,0.0,0.0,163.182811012985,0.0,108.747908978801,145.588121695188,0.0,0.0,0.0,199.710108623897,180.328521728516,176.825328119628,0.0,0.0,0.0,120.193365109348,0.0,0.0,164.575831410811,143.144809198256,121.75724029541,162.52931648164,0.0,168.070306357734,148.113251343084,167.00022995505,197.366898526628,151.928717982662,152.812772763509,148.762263395218,189.202788367685,0.0,199.294158935547,164.317901611328,0.0,0.0,172.344514998798,182.581483459178,135.973343648594,135.973343648594,135.973343648594,182.581483459178,182.581483459178,182.581483459178
L.POR,0.0,94.7604185781662,135.935868482159,0.0,98.1943748333237,194.79093086911,193.666495420356,122.007189490799,0.0,178.514640096864,26.0795997498991,149.562726574074,64.8201501990229,108.308484991097,121.637214660645,0.0,81.2242439868792,0.0,17.3407209318221,0.0,161.954818725586,0.0,0.0,179.798919677734,60.0719027973389,23.2548701253554,85.9054638219744,196.497436523438,111.275240127233,0.0,93.4627380371094,110.74386736144,0.0,66.937623417175,116.340179443359,97.0391946732592,67.2408069975473,67.1350410109485,82.9271777632819,114.82918548584,216.485000610352,70.6717293423528,177.42431640625,152.494681689259,144.702148178311,0.0,0.0,0.0,107.942993164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.457815919517,0.0,91.3749562250283,0.0,0.0,0.0,0.0,120.96126097676,167.940841674805,0.0,0.0,0.0,0.0,0.0,84.8496341858286,132.368895685075,135.752250933295,0.0,0.0,0.0,119.298191068979,0.0,0.0,135.588355220988,131.129257202148,116.340179443359,116.340179443359,116.340179443359,131.129257202148,131.129257202148,131.129257202148
L.PTR,0.0,87.0552643497631,99.4948407682873,186.604319911897,104.84656903154,134.019645777572,141.956695408963,117.295518784386,173.480865478516,189.408380107059,34.6972508477603,177.789304567479,85.23783154831,119.245256914195,0.0,219.371810913086,30.8822534448474,17.3407209318221,0.0,171.428622688031,152.998545912863,123.673275049822,106.229179067449,208.156140944717,68.8593425148706,35.1331703418725,83.2168338204276,177.590001910203,110.676122120336,170.004243933984,66.60595703125,105.106734324573,115.360198974609,51.0244536338453,211.45486563735,112.823191370409,77.9568126154392,71.9055032750855,85.9006217863913,158.496265288998,124.528390504243,75.6093915634198,144.19413710289,142.026242942148,158.215420148119,167.878739332057,0.0,0.0,100.667900085449,0.0,99.9370531994994,173.74058281845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.434407942506,0.0,117.847135710876,0.0,0.0,205.331797669218,165.90071359521,144.405743410424,162.845962848715,0.0,202.691902876191,170.922744750977,187.398308506517,222.202179708396,89.1561115712281,132.777358252087,147.511482113016,0.0,232.345581054688,201.941360473633,116.595647450703,0.0,0.0,165.53135317234,171.00846862793,211.45486563735,211.45486563735,211.45486563735,171.00846862793,171.00846862793,171.00846862793
L.PCAL,83.2316639531783,0.0,0.0,10.5155632096561,0.0,71.7985899203115,98.0277088590292,93.3070324374824,65.7626175302476,20.2618357221774,173.672175240524,13.5480706244914,142.426943023028,99.4286840152306,73.1033667394219,120.102928161621,193.430709838867,0.0,171.428622688031,0.0,0.0,0.0,164.680572509766,25.7095622561147,129.6513671875,186.518870152833,0.0,40.5217628272093,118.24459291169,146.750814378749,0.0,130.735396854295,107.275871276855,120.195769286423,184.074035644531,117.356686713177,141.9063545519,114.516129599932,140.662454060219,75.8594003283877,116.543389749751,0.0,189.269839725983,131.266174316406,212.3643249724,210.915177066994,121.986291069969,0.0,0.0,172.399383544922,0.0,0.0,165.647159222486,0.0,186.033251906556,161.734957429687,182.155978564292,92.5480707942029,169.894953583373,0.0,146.346777361892,187.335518809396,191.142184472517,186.06692030233,0.0,0.0,0.0,0.0,164.213016722973,202.198654174805,142.767631930965,0.0,145.364732782118,0.0,0.0,0.0,175.127021669184,197.079693228167,240.746063232422,0.0,0.0,0.0,175.571019630522,184.338943481445,184.074035644531,184.074035644531,184.074035644531,184.338943481445,184.338943481445,184.338943481445
